LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
1,NEWNEW,현대로템㈜,관심기업,현대자동차그룹,1000대기업,104 위,1000대기업 순위 닫기,스크랩,2024년 현대로템 2차 정기채용,HRD·HRM,경영·비즈니스기획,마케팅기획,PL·PM·PO 외,신입·경력,대졸↑,"경기, 경남","정규직, 계약직",홈페이지 지원,~06/02(일),,,,,,,,,,,,
2,하락1,(주)오뚜기,관심기업,,,,,스크랩,2024년 상반기 대졸신입사원 및 외국인 유학생 채용,HRD·HRM,인사담당자,마케팅기획,제품디자이너 외,신입,대졸↑,"서울, 경기, 충남 외",정규직,홈페이지 지원,~05/26(일),1000대기업,167 위,1000대기업 순위 닫기,우수기업,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",우수기업 설명 닫기,,,,,
3,NEWNEW,한국투자공사,관심기업,,,,,스크랩,2024년도 한국투자공사 신입직원 채용공고,인사담당자,HRD·HRM,경영·비즈니스기획,경영지원 외,신입,학력무관,서울,"정규직, 계약직",홈페이지 지원,~06/11(화),,,,,,,,,,,,
4,,(주)우아한형제들,관심기업,,,,,스크랩,각 부문별 경력/신입 인재영입,인사담당자,HRD·HRM,경영·비즈니스기획,웹기획 외,신입·경력,학력무관,서울,"정규직, 계약직",홈페이지 지원,상시채용,,,,,,,,유지,,,,
5,상승1,㈜오누이,관심기업,,,,,스크랩,[월 평균 400만/경력무관] 스타트업 오누이(설탭) 영업 담당자 상반기 마지막 채용(Sales팀),HRD·HRM,직업상담사,마케팅기획,사무담당자 외,경력무관,학력무관,"서울, 경기",계약직,즉시지원,내일마감,,,,,,,,,,,,
6,상승21,㈜올가홀푸드,관심기업,,,,,스크랩,"[풀무원] ORGA 인사/비서, SCM, 상품기획, 마케팅전략",인사담당자,HRD·HRM,노무관리자,경영·비즈니스기획 외,신입·경력,대졸↑,"서울, 경기",정규직,즉시지원,~06/02(일),,,,,,,,,,,,
7,하락2,에스제이지세종㈜,관심기업,,,,,스크랩,SJG [세종그룹] 부문별 인재 모집,노무관리자,회계담당자,경리,재무담당자 외,인턴·신입·경력,대졸↑,"경기, 충남, 울산","정규직, 인턴",홈페이지 지원,~05/27(월),1000대기업,638 위,1000대기업 순위 닫기,,,,,,,,,
8,하락1,㈜엔에이치알,관심기업,,,,,스크랩,2024년 2분기 NHR 신입/경력/인턴 채용,HRD·HRM,잡매니저,헤드헌터,경영·비즈니스기획 외,인턴·신입·경력,학력무관,서울,"정규직, 인턴",,~05/22(수),,,,,,,,,공고마감,,,
9,하락1,한신공영㈜,관심기업,,,,,스크랩,한신공영㈜ 각 부문 신입 및 경력 채용,인사담당자,노무관리자,총무,회계담당자 외,신입·경력,학력무관,서울,정규직,,~05/22(수),1000대기업,199 위,1000대기업 순위 닫기,,,,,,공고마감,,,
10,NEWNEW,경동물류,관심기업,,,,,스크랩,2024년 경동그룹 신입&경력 사원 모집,인사담당자,사무담당자,총무,사무보조 외,신입·경력,학력무관,"서울, 경기, 인천 외",정규직,즉시지원,~06/07(금),,,,,,,,,,,,
