LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
1,상승2,한국토지주택공사,관심기업,1000대기업,19 위,1000대기업 순위 닫기,스크랩,2024년 한국토지주택공사 7급(무기계약직) 신규채용,인바운드상담원,시설관리자,분양매니저,사무담당자 외,신입·경력,학력무관,"경남, 전국",계약직,홈페이지 지원,~05/28(화),,,,,,,,,,,,,,,
2,상승10,종근당,관심기업,,,,스크랩,종근당 수시채용,고객센터관리자,인바운드상담원,경영·비즈니스기획,마케팅기획 외,신입·경력,고졸↑,"서울, 충남","정규직, 계약직",홈페이지 지원,~06/03(월),,,,,,,,,,,,,,,
3,하락1,써모피셔사이언티픽 코리아,관심기업,,,,스크랩,써모피셔 사이언티픽 코리아 5월 4주차 신입/경력 채용,인바운드상담원,PL·PM·PO,회계담당자,재무담당자 외,신입·경력,학력무관,"서울, 경기, 인천 외",정규직,홈페이지 지원,~05/27(월),,,,,,,,,,,,,,,
4,상승2,㈜오누이,관심기업,,,,스크랩,[월 평균 400만/경력무관] 스타트업 오누이(설탭) 영업 담당자 상반기 마지막 채용(Sales팀),인바운드상담원,아웃바운드상담원,마케팅기획,사무담당자 외,경력무관,학력무관,"서울, 경기",계약직,즉시지원,내일마감,,,,,,,,,,,,,,,
5,하락1,(주)코스알엑스,관심기업,,,,스크랩,(주)코스알엑스 '24년 5월 경력사원 수시채용,인바운드상담원,사무담당자,총무,회계담당자 외,인턴·신입·경력,학력무관,서울,"정규직, 계약직 외",즉시지원,채용 시 마감,~05/30(목),,,,,,,,,,,,,,
6,상승2,㈜쥬비스다이어트,관심기업,,,,스크랩,쥬비스 다이어트 2024년도 인턴 채용 모집,인바운드상담원,아웃바운드상담원,고객센터관리자,컨설턴트 외,인턴·신입·경력,학력무관,"서울, 경기, 인천 외",인턴,즉시지원,~05/27(월),,,,,,,,,,,,,,,
7,NEWNEW,경동물류,관심기업,,,,스크랩,2024년 경동그룹 신입&경력 사원 모집,인바운드상담원,사무담당자,총무,사무보조 외,신입·경력,학력무관,"서울, 경기, 인천 외",정규직,즉시지원,~06/07(금),,,,,,,,,,,,,,,
8,상승1,㈜시몬스,관심기업,,,,스크랩,2024년 상반기 부문별 채용공고(신입/경력),인바운드상담원,마케팅기획,법무담당자,인사담당자 외,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,채용 시 마감,~05/31(금),,,,,,,,,,,,,,
9,상승6,㈜해커스어학원,관심기업,,,,스크랩,2024년 해커스교육그룹 신입 및 경력사원 채용,인바운드상담원,아웃바운드상담원,웹기획,PL·PM·PO 외,인턴·신입·경력,초대졸↑,"서울, 경기, 대구","정규직, 계약직 외",즉시지원,~05/31(금),,,,,,,,,,,,,,,
10,상승1,토스씨엑스㈜,관심기업,,,,스크랩,[토스씨엑스] 상담 직군 적극 채용 중,인바운드상담원,고객센터관리자,사무담당자,사무보조 외,신입·경력,학력무관,서울,계약직,,~05/22(수),,공고마감,,,,,,,,,,,,,
11,상승2,우미건설㈜,관심기업,,,,스크랩,우미 5월 경력사원 수시채용,인바운드상담원,경영지원,회계담당자,재무담당자 외,신입·경력,초대졸↑,"서울, 경기, 대전 외","정규직, 계약직",홈페이지 지원,~05/26(일),,,우심홀딩스그룹,1000대기업,776 위,1000대기업 순위 닫기,,,,,,,,,
12,상승4,샘표식품㈜,관심기업,,,,스크랩,2024 샘표식품 각 부문 수시 채용,인바운드상담원,PL·PM·PO,인사담당자,HRD·HRM 외,신입·경력,학력무관,"서울, 경기, 충북 외","정규직, 계약직",홈페이지 지원,상시채용,,,,,,,,,,,,,,,
13,상승1,KB캐피탈㈜,관심기업,,,,스크랩,KB캐피탈 각 부문 채용(계약직),아웃바운드상담원,고객센터관리자,사무담당자,사무보조 외,신입·경력,학력무관,"서울, 경기, 대전 외",계약직,즉시지원,내일마감,,,KB금융그룹,,,,,,,,,,,,
14,상승6,㈜위즈코리아,관심기업,,,,스크랩,㈜위즈코리아 `24년도 상반기 직무별 신입/경력자 정기채용,인바운드상담원,경영·비즈니스기획,웹기획,총무 외,인턴·신입·경력,초대졸↑,"서울, 대전, 광주 외","정규직, 인턴 외",즉시지원,채용 시 마감,~06/02(일),,,,,,,,,,,,,,
15,상승11,아우토슈타트㈜,관심기업,,,,스크랩,[포르쉐 공식딜러] 아우토슈타트㈜ 각 부문별 채용,인바운드상담원,총무,사무보조,인사담당자 외,신입·경력,고졸↑,"경기, 대전","정규직, 계약직",즉시지원,~06/10(월),,,,,,,,,,,,,,,
16,상승9,에이치디씨리조트㈜,관심기업,,,,스크랩,각 부문별 신입/ 경력직 모집  [HDC리조트],인바운드상담원,경영·비즈니스기획,마케팅기획,사무담당자 외,경력무관,초대졸↑,강원,정규직,즉시지원,~06/06(목),,,,,,,,,,,,,,,
17,상승5,㈜알레르망,관심기업,,,,스크랩,[알레르망] 2024년 상반기 공채,인바운드상담원,마케팅기획,비서,브랜드마케터 외,신입·경력,초대졸↑,"서울, 경기, 인천 외",정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,
18,상승5,㈜솔바텍,관심기업,,,,스크랩,기술지원 및 사무지원 채용,인바운드상담원,아웃바운드상담원,경영·비즈니스기획,웹기획 외,신입·경력,초대졸↑,"서울, 경기",정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,
19,상승12,㈜에듀클라우드,관심기업,,,,스크랩,2024 상반기 공개채용(마케팅/영업/CS/개발/사업기획/영어강사),인바운드상담원,웹기획,PL·PM·PO,사무담당자 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~06/18(화),,,,,,,,,,,,,,,
20,상승1,진인프라,관심기업,,,,스크랩,[중견IT기업]2024년 신입 및 경력 공개 채용,인바운드상담원,백엔드개발자,시스템엔지니어,네트워크엔지니어 외,신입·경력,고졸↑,서울,"정규직, 계약직",즉시지원,~06/15(토),,,,,,,,,,,,,,,
21,상승20,에스엔패션그룹㈜,관심기업,,,,스크랩,[여성의류쇼핑몰 아뜨랑스] 각 부문 담당자 모집,인바운드상담원,마케팅기획,MD,웹디자이너 외,신입·경력,학력무관,서울,정규직,즉시지원,~06/02(일),,,,,,,,,,,,,,,
22,하락3,㈜시라노,관심기업,,,,스크랩,소개팅서비스에서 함께 일할 일잘러(기본230만/고인센/탄력출퇴근),인바운드상담원,아웃바운드상담원,이벤트·웨딩플래너,,신입·경력,고졸↑,서울,계약직,즉시지원,~06/19(수),,,,,,,,,,,,,,,
23,NEWNEW,펫로스 케어,관심기업,,,,스크랩,"[2024년 2/4분기 추가채용] 반려동물 장례지도사 및 외부홍보, 영업직원 모집",아웃바운드상담원,제품영업,서비스영업,법인영업 외,신입·경력,학력무관,"부산, 경남",정규직,즉시지원,~06/21(금),,,,,,,,,,,,,,,
24,상승4,㈜웨이팅리스트,관심기업,,,,스크랩,[500만 팔로워를 보유한 플랫폼 기업] 각 부문 신입 및 경력사원 채용,인바운드상담원,AE(광고기획자),온라인마케터,광고디자이너 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,~06/13(목),,,,,,,,,,,,,,
25,하락1,㈜중앙,관심기업,,,,스크랩,법인영업부 / 업계 최대 급여 및 인센티브 (급여제도 선택가능),인바운드상담원,아웃바운드상담원,경영·비즈니스기획,마케팅기획 외,경력무관,학력무관,"서울, 경기, 인천 외","정규직, 위촉직/개인사업자",즉시지원,~05/31(금),,,,,,,,,,,,,,,
26,하락8,㈜윤씨네,관심기업,,,,스크랩,[복지좋음] 사무/ 설치/영업/ 인바운드/온라인 파트별 정규직 모집,인바운드상담원,사무담당자,MD,자재관리자 외,신입·경력,고졸↑,경기,정규직,즉시지원,~06/19(수),,,,,,,,,,,,,,,
27,상승10,㈜마이리얼트립,관심기업,,,,스크랩,[재택근무 365일/ 정규직 전환 가능] MRTCX 고객지원매니저,인바운드상담원,아웃바운드상담원,여행에이전트,,신입·경력,학력무관,서울,계약직,즉시지원,~06/07(금),,,,,,,,,,,,,,,
28,상승10,일양㈜,관심기업,,,,스크랩,기본급 350만(차등지급) 부동산 직원 모집 - 주5일 오전10시-오후3시,인바운드상담원,아웃바운드상담원,고객센터관리자,경영·비즈니스기획 외,신입·경력,학력무관,"서울, 경기, 전국","계약직, 프리랜서",즉시지원,채용 시 마감,~05/31(금),,,,,,,,,,,,,,
29,상승1,㈜씨트립코리아,관심기업,,,,스크랩,[Trip.com] 트립닷컴 CS 채용,인바운드상담원,아웃바운드상담원,고객센터관리자,사무보조 외,경력무관,학력무관,서울,계약직,즉시지원,~05/31(금),,,,,,,,,,,,,,,
30,NEWNEW,㈜포터블뉴트리션,관심기업,,,,스크랩,온라인 쇼핑몰 운영지원 / 온라인 기획 / 영상콘텐츠 마케팅 / 웹디자인 부문별 모집 신입-경력,인바운드상담원,퍼포먼스마케터,온라인마케터,채널관리자 외,신입·경력,고졸↑,"서울, 경기",정규직,즉시지원,상시채용,,,,,,,,,,,,,,,
31,상승1,글램비글램핑,관심기업,,,,스크랩,"㈜글램비글램핑 [캠핑장, 캠핑식당, 애견카페] 각 직군별 관리자/직원/알바채용",인바운드상담원,회계담당자,조리사,설치·수리기사 외,신입·경력,학력무관,"경기, 인천","정규직, 아르바이트",즉시지원,상시채용,,,,,,,,,,,,,,,
