죄종별,항목,단위,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,행정구역
총계,발생건수[건],건,368583.0,355991,356575.0,343104,320193,308997,309269,296178,257969,279507,서울특별시
강력범죄,발생건수[건],건,6279.0,6276,6204.0,6698,7499,6991,6993,6265,5344,6257,서울특별시
살인기수,발생건수[건],건,49.0,57,67.0,47,50,45,47,52,48,37,서울특별시
살인,발생건수[건],건,43.0,47,59.0,38,40,33,34,38,35,25,서울특별시
영아살해,발생건수[건],건,1.0,2,2.0,2,2,1,2,2,-,2,서울특별시
존속살해,발생건수[건],건,4.0,6,5.0,3,6,8,7,7,4,5,서울특별시
촉탁·승낙살인,발생건수[건],건,,2,,-,-,-,-,-,1,-,서울특별시
자살교사·방조,발생건수[건],건,1.0,,1.0,4,2,3,4,5,4,3,서울특별시
위계·위력·촉탁·승낙살인,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
특가법(보복살인등),발생건수[건],건,,,,-,-,-,-,-,3,1,서울특별시
아동학대처벌법(아동학대살해),발생건수[건],건,,,,,,,,,1,1,서울특별시
살인미수등,발생건수[건],건,103.0,101,96.0,101,92,98,89,89,77,68,서울특별시
살인,발생건수[건],건,98.0,95,89.0,94,89,85,82,81,66,67,서울특별시
영아살해,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
존속살해,발생건수[건],건,5.0,6,6.0,4,3,6,4,3,7,1,서울특별시
촉탁·승낙살인,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
자살교사·방조,발생건수[건],건,,,1.0,3,-,7,3,5,4,-,서울특별시
위계·위력·촉탁·승낙살인,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
강도,발생건수[건],건,421.0,343,276.0,262,169,143,136,139,122,118,서울특별시
강도,발생건수[건],건,84.0,69,49.0,41,27,32,25,15,20,22,서울특별시
준강도,발생건수[건],건,31.0,40,35.0,41,32,23,17,17,20,20,서울특별시
특수강도,발생건수[건],건,142.0,115,95.0,83,54,47,49,68,47,46,서울특별시
준특수강도,발생건수[건],건,1.0,,,-,-,-,-,-,-,2,서울특별시
강도상해·치상,발생건수[건],건,129.0,84,81.0,85,46,30,44,31,27,22,서울특별시
강도살인·치사,발생건수[건],건,7.0,4,9.0,5,6,3,-,4,4,4,서울특별시
해상강도(살인·치사·상해·치상),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
인질강도,발생건수[건],건,11.0,3,3.0,1,-,1,1,2,-,1,서울특별시
강도강간,발생건수[건],건,15.0,9,4.0,4,3,7,-,2,2,1,서울특별시
(특수·인질·해상)강도(상습),발생건수[건],건,,,,1,-,-,-,-,-,-,서울특별시
특가법(강도),발생건수[건],건,1.0,19,,1,1,-,-,-,-,-,서울특별시
특가법(강도상해재범),발생건수[건],건,,,,-,-,-,-,-,2,-,서울특별시
강간,발생건수[건],건,1199.0,1051,970.0,1131,1167,1171,1258,1294,1138,1203,서울특별시
강간,발생건수[건],건,534.0,424,397.0,494,486,507,542,539,484,535,서울특별시
강간(상습),발생건수[건],건,1.0,,,-,-,-,-,1,-,1,서울특별시
준강간,발생건수[건],건,279.0,248,245.0,317,350,354,413,406,321,356,서울특별시
준강간(상습),발생건수[건],건,1.0,,,-,-,3,2,-,-,1,서울특별시
강간상해·치상,발생건수[건],건,110.0,80,91.0,70,72,62,56,58,65,62,서울특별시
강간살인·치사,발생건수[건],건,,,,2,1,1,-,-,1,-,서울특별시
미성년자간음(심신미약자),발생건수[건],건,3.0,2,1.0,1,2,2,1,4,6,4,서울특별시
업무상위력에의한간음,발생건수[건],건,5.0,1,2.0,4,8,9,8,11,8,4,서울특별시
친족관계에의한강간,발생건수[건],건,26.0,19,18.0,16,12,16,16,13,16,11,서울특별시
장애인에대한강간·간음,발생건수[건],건,48.0,74,38.0,35,42,44,32,66,37,50,서울특별시
청소년에대한강간·간음,발생건수[건],건,97.0,120,79.0,101,109,95,92,89,74,70,서울특별시
미성년자의제강간,발생건수[건],건,1.0,4,5.0,4,4,10,10,31,47,60,서울특별시
13세미만미성년자강간·간음,발생건수[건],건,13.0,10,12.0,7,14,10,12,7,6,4,서울특별시
특수강간(준),발생건수[건],건,81.0,62,54.0,43,48,41,43,43,45,28,서울특별시
주거침입강간,발생건수[건],건,,6,20.0,30,16,11,26,25,18,14,서울특별시
절도강간,발생건수[건],건,,,,-,1,-,-,-,-,-,서울특별시
특수강도강간,발생건수[건],건,,1,8.0,7,2,6,5,1,4,-,서울특별시
아동학대처벌법위반(상습강간·간음),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
16세미만아동·청소년간음,발생건수[건],건,,,,,,,,,6,3,서울특별시
유사강간,발생건수[건],건,25.0,99,118.0,123,144,181,172,199,179,222,서울특별시
유사강간,발생건수[건],건,16.0,57,57.0,75,84,117,97,117,105,121,서울특별시
유사강간(상습),발생건수[건],건,,,1.0,-,-,-,-,-,-,-,서울특별시
준유사강간,발생건수[건],건,2.0,11,19.0,17,24,30,40,43,51,60,서울특별시
준유사강간(상습),발생건수[건],건,,,,-,-,-,-,-,1,-,서울특별시
유사강간상해·치상,발생건수[건],건,,3,4.0,2,8,14,3,9,4,10,서울특별시
유사강간살인·치사,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
미성년자의제유사강간,발생건수[건],건,,1,2.0,-,-,-,1,1,3,4,서울특별시
유사성행위,발생건수[건],건,7.0,26,32.0,24,27,17,27,27,13,24,서울특별시
주거침입유사강간,발생건수[건],건,,1,3.0,3,-,3,4,2,2,2,서울특별시
절도유사강간,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
특수강도유사강간,발생건수[건],건,,,,2,1,-,-,-,-,1,서울특별시
아동학대처벌법위반(상습유사강간),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
강제추행,발생건수[건],건,3910.0,4130,4268.0,4676,5592,5001,4987,4212,3554,4356,서울특별시
강제추행,발생건수[건],건,2400.0,2331,2349.0,2759,3272,3175,3285,3032,2349,2998,서울특별시
강제추행(상습),발생건수[건],건,1.0,2,4.0,1,7,5,2,11,8,4,서울특별시
준강제추행,발생건수[건],건,112.0,126,166.0,200,245,244,224,238,202,204,서울특별시
준강제추행(상습),발생건수[건],건,,1,,-,1,1,-,-,-,-,서울특별시
강제추행상해·치상,발생건수[건],건,45.0,50,33.0,25,37,31,38,31,25,31,서울특별시
강제추행살인·치사,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
업무상위력등에의한추행,발생건수[건],건,57.0,49,68.0,60,85,74,56,69,101,63,서울특별시
친족관계에의한강제추행,발생건수[건],건,39.0,39,31.0,30,38,29,23,32,31,34,서울특별시
장애인에대한강제추행·추행,발생건수[건],건,36.0,55,46.0,56,61,58,57,42,50,58,서울특별시
청소년에대한강제추행·추행,발생건수[건],건,296.0,278,228.0,217,266,206,180,129,127,135,서울특별시
미성년자추행(심신미약자),발생건수[건],건,1.0,1,,1,1,1,-,1,-,2,서울특별시
미성년자의제강제추행,발생건수[건],건,,,1.0,-,2,2,2,1,5,5,서울특별시
13세미만미성년자강제추행·추행,발생건수[건],건,80.0,129,144.0,139,139,140,126,88,62,87,서울특별시
공중밀집장소에서의추행,발생건수[건],건,828.0,1046,1154.0,1151,1410,995,951,500,555,697,서울특별시
특수강제추행(준),발생건수[건],건,15.0,9,7.0,10,6,3,9,5,7,4,서울특별시
주거침입강제추행,발생건수[건],건,,14,34.0,24,21,36,34,31,30,25,서울특별시
절도강제추행,발생건수[건],건,,,2.0,3,1,1,-,-,-,-,서울특별시
특수강도강제추행,발생건수[건],건,,,1.0,-,-,-,-,2,1,1,서울특별시
아동학대처벌법위반(상습강제추행·추행),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
16세미만아동·청소년추행,발생건수[건],건,,,,,,,,,1,8,서울특별시
기타 강간·강제추행 등,발생건수[건],건,255.0,181,94.0,72,60,59,52,58,40,36,서울특별시
강간등상해·치상,발생건수[건],건,41.0,36,27.0,17,21,21,24,14,21,13,서울특별시
강간등살인·치사,발생건수[건],건,,1,,1,-,1,-,1,-,-,서울특별시
친족관계에의한강간등,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
장애인에대한준강간등,발생건수[건],건,9.0,11,8.0,4,2,1,2,-,-,-,서울특별시
청소년에대한강간등,발생건수[건],건,95.0,44,24.0,27,23,17,12,26,12,21,서울특별시
미성년자의제강간등,발생건수[건],건,,,,-,-,-,-,-,,,서울특별시
13세미만미성년자강간등,발생건수[건],건,12.0,15,10.0,3,8,4,3,7,-,-,서울특별시
주거침입강간등,발생건수[건],건,60.0,50,13.0,10,4,11,9,8,3,2,서울특별시
절도강간등,발생건수[건],건,3.0,3,2.0,-,-,-,-,-,-,-,서울특별시
특수강도강간등,발생건수[건],건,33.0,21,10.0,10,2,4,2,2,4,-,서울특별시
성폭력범죄의처벌및피해자보호등에관한법률위반,발생건수[건],건,2.0,,,-,-,-,-,-,-,-,서울특별시
방화,발생건수[건],건,317.0,314,315.0,286,225,293,252,222,186,217,서울특별시
방화,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
현주·공용건조물등방화,발생건수[건],건,174.0,186,192.0,160,105,166,126,122,104,128,서울특별시
현주건조물등방화치상,발생건수[건],건,4.0,6,10.0,4,4,4,2,6,2,5,서울특별시
현주건조물등방화치사,발생건수[건],건,1.0,3,4.0,3,5,4,2,1,-,1,서울특별시
일반건조물등방화,발생건수[건],건,98.0,87,83.0,86,90,77,92,75,57,58,서울특별시
자기소유건조물등방화,발생건수[건],건,2.0,4,7.0,10,9,8,8,4,7,2,서울특별시
방화연소,발생건수[건],건,18.0,9,8.0,7,1,5,4,1,4,4,서울특별시
진화방해,발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
폭발성물건파열(치사·상),발생건수[건],건,3.0,1,,1,1,-,-,-,2,-,서울특별시
폭발성물건파열(과실),발생건수[건],건,,3,5.0,1,4,1,1,2,5,8,서울특별시
가스등방출(치사·상),발생건수[건],건,1.0,1,,3,-,2,1,2,2,2,서울특별시
가스등방출(과실),발생건수[건],건,,3,,-,-,-,1,-,-,-,서울특별시
가스등공급사용방해(치사·상),발생건수[건],건,2.0,,2.0,1,2,6,5,2,1,5,서울특별시
가스등공급사용방해(과실),발생건수[건],건,,1,,1,-,-,-,3,-,3,서울특별시
자동차방화,발생건수[건],건,14.0,10,4.0,9,4,20,10,4,2,1,서울특별시
절도범죄,발생건수[건],건,61585.0,59391,55307.0,46857,41162,39175,42204,38293,33531,37579,서울특별시
절도,발생건수[건],건,55613.0,54271,50308.0,42618,37417,35843,38724,35248,31080,35256,서울특별시
절도(상습),발생건수[건],건,52.0,86,772.0,642,495,285,200,196,97,143,서울특별시
특수절도,발생건수[건],건,3418.0,2491,2806.0,2352,1977,1823,1894,1541,1164,1134,서울특별시
특수절도(상습),발생건수[건],건,,1,50.0,96,17,11,23,13,4,1,서울특별시
야간주거침입절도,발생건수[건],건,857.0,837,1091.0,1020,991,841,910,816,753,597,서울특별시
야간주거침입절도(상습),발생건수[건],건,,,29.0,20,16,3,6,10,3,5,서울특별시
불법사용,발생건수[건],건,23.0,30,39.0,62,56,56,82,99,62,77,서울특별시
불법사용(상습),발생건수[건],건,,,,-,-,-,1,-,1,-,서울특별시
특가법(절도),발생건수[건],건,1622.0,1675,212.0,47,193,313,364,370,367,366,서울특별시
특가법(단체등의조직),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
폭력범죄,발생건수[건],건,65457.0,65354,65269.0,64645,59449,56122,54762,48422,41834,46874,서울특별시
상해,발생건수[건],건,9035.0,7990,7178.0,6957,6028,5126,4603,3861,3155,3358,서울특별시
상해,발생건수[건],건,8954.0,7920,7070.0,6872,5913,5013,4502,3757,3048,3254,서울특별시
상해(중),발생건수[건],건,15.0,12,14.0,10,16,9,9,15,12,11,서울특별시
상해(상습),발생건수[건],건,,1,,1,8,9,2,1,6,3,서울특별시
상해(상습중),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
상해치사,발생건수[건],건,12.0,6,6.0,5,11,7,5,4,8,5,서울특별시
존속상해,발생건수[건],건,54.0,51,73.0,53,60,61,61,52,39,47,서울특별시
존속상해(중),발생건수[건],건,,,,-,-,-,-,1,-,-,서울특별시
존속상해(상습),발생건수[건],건,,,,-,1,1,-,2,-,2,서울특별시
존속상해(상습중),발생건수[건],건,,,,-,-,-,-,-,-,-,서울특별시
존속상해치사,발생건수[건],건,,,2.0,3,4,1,2,2,-,1,서울특별시
특가법(보복상해등),발생건수[건],건,,,11.0,8,6,8,5,6,5,5,서울특별시
