죄종별(1),죄종별(2),죄종별(3),2019,2020,2021,2022
총계,소계,소계,6111,6276,5937,6575
강력범죄,소계,소계,68,92,84,121
강력범죄,살인기수,소계,2,4,1,2
강력범죄,살인미수등,소계,1,4,3,3
강력범죄,강도,소계,-,2,1,2
강력범죄,강간,소계,12,28,22,26
강력범죄,유사강간,소계,1,2,4,6
강력범죄,강제추행,소계,49,48,50,73
강력범죄,기타 강간·강제추행 등,소계,1,2,1,1
강력범죄,방화,소계,2,2,2,8
절도범죄,소계,소계,850,876,1043,1110
절도범죄,절도,소계,768,790,952,997
절도범죄,절도(상습),소계,-,2,3,2
절도범죄,특수절도,소계,46,57,65,85
절도범죄,특수절도(상습),소계,-,-,-,-
절도범죄,야간주거침입절도,소계,28,14,14,16
절도범죄,야간주거침입절도(상습),소계,-,-,-,-
절도범죄,불법사용,소계,8,13,7,6
절도범죄,불법사용(상습),소계,-,-,-,-
절도범죄,특가법(절도),소계,-,-,2,4
절도범죄,특가법(단체등의조직),소계,-,-,-,-
폭력범죄,소계,소계,877,875,867,912
폭력범죄,상해,소계,144,140,139,120
폭력범죄,폭행,소계,377,346,315,400
폭력범죄,체포·감금,소계,-,3,5,3
폭력범죄,협박,소계,94,92,110,86
폭력범죄,약취·유인,소계,1,1,3,2
폭력범죄,폭력행위등,소계,26,28,19,25
폭력범죄,공갈,소계,14,24,30,26
폭력범죄,손괴,소계,221,241,246,250
지능범죄,소계,소계,1744,1861,1407,1953
지능범죄,직무유기,소계,15,6,21,22
지능범죄,직권남용,소계,14,10,14,19
지능범죄,증수뢰,소계,2,4,2,1
지능범죄,통화,소계,4,3,-,3
지능범죄,문서·인장,소계,49,69,43,68
지능범죄,유가증권인지,소계,1,-,-,-
지능범죄,사기,소계,1357,1537,1118,1575
지능범죄,횡령,소계,282,203,185,249
지능범죄,배임,소계,20,29,24,16
풍속범죄,소계,소계,66,57,104,134
풍속범죄,성풍속범죄,소계,49,44,90,121
풍속범죄,도박범죄,소계,17,13,14,13
특별경제범죄,소계,소계,157,180,128,168
특별경제범죄,신용업무와경매에관한죄,소계,54,79,46,75
특별경제범죄,여신전문금융업법위반,소계,6,12,23,16
특별경제범죄,대부업의등록및금융이용자보호에관한법률,소계,3,6,1,4
특별경제범죄,유사수신행위의규제에관한법률,소계,2,-,-,-
특별경제범죄,전자금융거래법위반,소계,15,18,24,39
특별경제범죄,부정수표단속법,소계,-,8,2,-
특별경제범죄,조세범처벌법,소계,13,15,8,9
특별경제범죄,관세법,소계,-,-,-,-
특별경제범죄,외국환거래법,소계,2,-,1,-
특별경제범죄,지방세법,소계,-,-,-,-
특별경제범죄,저작권법,소계,49,35,15,21
특별경제범죄,특허법,소계,-,-,-,-
특별경제범죄,상표법,소계,8,4,5,2
특별경제범죄,실용신안법,소계,-,-,-,-
특별경제범죄,디자인보호법,소계,-,-,-,-
특별경제범죄,컴퓨터프로그램보호법,소계,-,-,-,-
특별경제범죄,특가법(관세),소계,-,-,-,-
특별경제범죄,특가법(국고손실),소계,-,-,1,1
특별경제범죄,특가법(조세),소계,-,1,-,-
특별경제범죄,특경법(무인가단기금융업),소계,-,-,-,-
특별경제범죄,특경법(사금융알선등),소계,-,-,-,-
특별경제범죄,특경법(재산국외도피),소계,-,-,-,-
특별경제범죄,기타경제범죄,소계,5,2,2,1
마약범죄,소계,소계,32,37,40,31
마약범죄,아편·몰핀에관한죄,소계,-,-,-,-
마약범죄,마약류관리에관한법률(대마),소계,1,2,-,4
마약범죄,마약류관리에관한법률(마약),소계,9,15,13,20
마약범죄,마약류관리에관한법률(향정),소계,22,20,27,7
마약범죄,마약류불법거래방지에관한특례법,소계,-,-,-,-
마약범죄,특가법(마약),소계,-,-,-,-
마약범죄,특가법(향정),소계,-,-,-,-
보건범죄,소계,소계,17,59,56,60
