시도,시군구,폐기물 종류,Unnamed: 3,합계,재활용,소각,매립,기타
서울,소계,합계,,"2,905,572.90","1,778,105.80","808,398.60","310,242.60","8,825.90"
서울,소계,종량제방식 등 혼합배출,소계,"1,225,837.50","103,166.20","803,602.80","310,242.60","8,825.90"
서울,소계,"재활용 
가능자원
 분리배출",소계,"841,669.60","836,873.80","4,795.80",0,0
서울,소계,음식물류 폐기물 분리배출,,"838,065.80","838,065.80",0,0,0
서울,종로구,합계,,"95,355.20","56,420.70","32,299.50","6,635.00",0
서울,종로구,종량제방식 등 혼합배출,소계,"38,934.50",0,"32,299.50","6,635.00",0
서울,종로구,"재활용 
가능자원
 분리배출",소계,"29,441.50","29,441.50",0,0,0
서울,종로구,음식물류 폐기물 분리배출,EMPTY,"26,979.20","26,979.20",0,0,0
서울,중구,합계,,"95,998.10","44,488.90","43,191.40","8,317.80",0
,,종량제방식 등 혼합배출,소계,"53,330.20","1,821.00","43,191.40","8,317.80",0
,,"재활용 
가능자원
 분리배출",소계,"16,253.70","16,253.70",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"26,414.20","26,414.20",0,0,0
서울,용산구,합계,,"87,049.00","50,275.00","30,262.70","6,511.30",0
,,종량제방식 등 혼합배출,소계,"39,719.00","2,945.00","30,262.70","6,511.30",0
,,"재활용 
가능자원
 분리배출",소계,"27,189.20","27,189.20",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"20,140.80","20,140.80",0,0,0
서울,성동구,합계,,"89,652.90","58,156.10","21,966.20","9,530.60",0
,,종량제방식 등 혼합배출,소계,"31,496.80",0,"21,966.20","9,530.60",0
,,"재활용 
가능자원
 분리배출",소계,"31,387.50","31,387.50",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"26,768.60","26,768.60",0,0,0
서울,광진구,합계,,"80,103.20","55,322.70","16,185.10","8,595.40",0
,,종량제방식 등 혼합배출,소계,"28,355.90","3,575.40","16,185.10","8,595.40",0
,,"재활용 
가능자원
 분리배출",소계,"24,095.60","24,095.60",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"27,651.70","27,651.70",0,0,0
서울,동대문구,합계,,"102,068.20","62,713.80","29,870.00","9,484.40",0
,,종량제방식 등 혼합배출,소계,"39,354.40",0,"29,870.00","9,484.40",0
,,"재활용 
가능자원
 분리배출",소계,"32,722.00","32,722.00",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"29,991.80","29,991.80",0,0,0
서울,중랑구,합계,,"99,868.50","59,843.70","33,205.90","6,818.90",0
,,종량제방식 등 혼합배출,소계,"40,024.80",0,"33,205.90","6,818.90",0
,,"재활용 
가능자원
 분리배출",소계,"30,079.30","30,079.30",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"29,764.40","29,764.40",0,0,0
서울,성북구,합계,,"110,262.60","70,471.90","29,634.20","3,030.60","7,125.90"
,,종량제방식 등 혼합배출,소계,"44,266.80","4,476.10","29,634.20","3,030.60","7,125.90"
,,"재활용 
가능자원
 분리배출",소계,"32,908.70","32,908.70",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"33,087.10","33,087.10",0,0,0
서울,강북구,합계,,"80,021.80","52,950.90","24,914.20","2,156.70",0
,,종량제방식 등 혼합배출,소계,"39,488.00","12,417.10","24,914.20","2,156.70",0
,,"재활용 
가능자원
 분리배출",소계,"17,657.60","17,657.60",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"22,876.20","22,876.20",0,0,0
서울,도봉구,합계,,"79,944.90","57,300.90","20,046.70","2,597.30",0
,,종량제방식 등 혼합배출,소계,"34,119.00","11,475.00","20,046.70","2,597.30",0
,,"재활용 
가능자원
 분리배출",소계,"20,311.70","20,311.70",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"25,514.20","25,514.20",0,0,0
서울,노원구,합계,,"131,701.80","93,229.70","34,981.80","3,490.30",0
,,종량제방식 등 혼합배출,소계,"49,099.50","10,627.40","34,981.80","3,490.30",0
