LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35
1,상승1,㈜오누이,관심기업,스크랩,[월 평균 400만/경력무관] 스타트업 오누이(설탭) 영업 담당자 상반기 마지막 채용(Sales팀),학원상담·운영,마케팅기획,사무담당자,사무보조 외,경력무관,학력무관,"서울, 경기",계약직,즉시지원,내일마감,,,,,,,,,,,,,,,,,,,
2,하락1,교원그룹,관심기업,스크랩,교원그룹 5월 정기채용,학원상담·운영,경영·비즈니스기획,사무담당자,총무 외,신입·경력,대졸↑,"서울, 부산",정규직,홈페이지 지원,~06/02(일),1000대기업,459 위,1000대기업 순위 닫기,,,,,,,,,,,,,,,,
3,상승1,㈜해커스어학원,관심기업,스크랩,2024년 해커스교육그룹 신입 및 경력사원 채용,학원상담·운영,교재개발·교수설계,웹기획,PL·PM·PO 외,인턴·신입·경력,초대졸↑,"서울, 경기, 대구","정규직, 계약직 외",즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,
4,상승7,㈜에듀클라우드,관심기업,스크랩,2024 상반기 공개채용(마케팅/영업/CS/개발/사업기획/영어강사),학원강사,외국어강사,학원상담·운영,교재개발·교수설계 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~06/18(화),,,,,,,,,,,,,,,,,,,
5,상승1,㈜비상교육,관심기업,스크랩,[주 3일 원격근무] 비상교육 전체직무 상시채용,학교·특수학교교사,학원강사,학습지·방문교사,교재개발·교수설계 외,신입·경력,학력무관,경기,정규직,홈페이지 지원,상시채용,,,,,,,,,,,,,,,,,,,
6,상승2,㈜트루빈스,관심기업,스크랩,"2배씩 성장, 업계 최대 대우(PD·AE·작가·디자이너·개발PM)",교재개발·교수설계,PD·감독,AE(광고기획자),광고디자이너 외,신입·경력,학력무관,"서울, 경기, 전국",정규직,즉시지원,~06/09(일),,,,,,,,,,,,,,,,,,,
7,NEWNEW,수원여자대학교,관심기업,스크랩,수원여자대학교 혁신지원사업 직원 채용 공고,교직원·조교,직업상담사,회계담당자,회계사 외,경력무관,초대졸↑,"서울, 경기",계약직,즉시지원,~05/27(월),,,,,,,,,,,,,,,,,,,
8,상승4,아이헤이트플라잉버그스㈜,관심기업,스크랩,2024년 상반기 영어/수학 교육 분야 채용,학교·특수학교교사,학원강사,외국어강사,학습지·방문교사 외,신입·경력,대졸↑,"서울, 경기, 인천",정규직,즉시지원,~05/28(화),,,,,,,,,,,,,,,,,,,
9,상승1,(재)경기도일자리재단,관심기업,스크랩,2024년 경기청년 일자리 매치업 취업지원 사업,교재개발·교수설계,인사담당자,브랜드마케터,프론트엔드개발자 외,신입·경력,학력무관,경기,정규직,홈페이지 지원,채용 시 마감,,,,~05/25(토),,,,,,,,,,,,,,,
10,상승5,㈜인투에듀,관심기업,스크랩,"교육영업, 답이 좀 됐으려나  월오백이 기본",학습지·방문교사,제품영업,서비스영업,금융영업 외,신입·경력,초대졸↑,"서울, 경기, 인천 외",위촉직/개인사업자,즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,
