LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
1,상승7,㈜엔에이치알,관심기업,스크랩,2024년 2분기 NHR 신입/경력/인턴 채용,광고디자이너,시각디자이너,그래픽디자이너,웹디자이너 외,인턴·신입·경력,학력무관,서울,"정규직, 인턴",홈페이지 지원,~05/22(수),,,,,,,,,,,,,,,,,,,,,,
2,NEWNEW,삼성물산㈜ 에버랜드리조트,관심기업,스크랩,[삼성물산 리조트부문] 2024년 5월 4급 신입채용,공간디자이너,환경디자이너,요리사,조리사 외,신입,초대졸↑,경기,정규직,홈페이지 지원,~05/21(화),,,,,,,,,,,,,,,,,,,,,,
3,하락1,㈜시몬스,관심기업,스크랩,2024년 상반기 부문별 채용공고(신입/경력),산업디자이너,웹디자이너,실내디자이너,공간디자이너 외,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,채용 시 마감,~05/31(금),,,,,,,,,,,,,,,,,,,,,
4,하락3,루이비통코리아㈜,관심기업,스크랩,2024 LOUIS VUITTON 신입 및 경력 채용,제품디자이너,산업디자이너,패션디자이너,마케팅기획 외,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,~05/17(금),,,,,,,,,,,,,,,,,,,,,,
5,하락2,(주)우아한형제들,관심기업,스크랩,각 부문별 경력/신입 인재영입,웹디자이너,UI·UX디자이너,경영·비즈니스기획,웹기획 외,신입·경력,학력무관,서울,"정규직, 계약직",홈페이지 지원,상시채용,,,,,,,,,,,,,,,,,,,,,,
6,상승17,비엠스마일,관심기업,스크랩,[비엠스마일 그룹]2024년 공채,그래픽디자이너,제품디자이너,영상디자이너,경영·비즈니스기획 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/17(금),,,,,,,,,,,,,,,,,,,,,,
7,,우미건설㈜,관심기업,스크랩,우미 5월 경력사원 수시채용,공간디자이너,경영지원,회계담당자,재무담당자 외,신입·경력,초대졸↑,"서울, 경기, 대전 외","정규직, 계약직",홈페이지 지원,~05/26(일),,유지,우심홀딩스그룹,1000대기업,776 위,1000대기업 순위 닫기,,,,,,,,,,,,,,,,
8,상승1,티케이지태광㈜,관심기업,스크랩,[TKG 태광]2024년 상반기 각부문 공개채용,제품디자이너,시각디자이너,영상디자이너,광고디자이너 외,신입·경력,대졸↑,경남,정규직,홈페이지 지원,~05/21(화),,,,,,,1000대기업,310 위,1000대기업 순위 닫기,,,,,,,,,,,,,
9,하락4,㈜아이디스,관심기업,스크랩,2024년 2분기 집중채용 (신입/경력),그래픽디자이너,소프트웨어개발자,하드웨어개발자,하드웨어엔지니어 외,신입·경력,학력무관,"경기, 대전",정규직,홈페이지 지원,~05/21(화),,,,,,,,,,,,,,,,,,,,,,
10,하락6,호텔에이치디씨㈜ 보코 서울 명동,관심기업,스크랩,보코(VOCO) 서울 명동 각 부문 신입 및 경력 공개 채용,그래픽디자이너,인사담당자,회계담당자,홍보 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,~06/06(목),,,,,,,,,,,,,,,,,,,,,,
11,하락5,㈜JYP 엔터테인먼트 재팬,관심기업,스크랩,2024년 JYP Entertainment Japan 채용,그래픽디자이너,패션디자이너,일러스트레이터,마케팅기획 외,신입·경력,대졸↑,일본,"정규직, 계약직",즉시지원,채용 시 마감,~06/21(금),,,,,,,,,,,,,,,,,,,,,
12,상승18,㈜비상교육,관심기업,스크랩,[주 3일 원격근무] 비상교육 전체직무 상시채용,그래픽디자이너,웹디자이너,편집디자이너,웹기획 외,신입·경력,학력무관,경기,정규직,홈페이지 지원,상시채용,,,,,,,,,,,,,,,,,,,,,,
13,상승5,㈜컴투스,관심기업,스크랩,[컴투스 그룹] 각 부문별 경력/신입 인재채용,그래픽디자이너,3D디자이너,UI·UX디자이너,캐릭터디자이너 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
14,하락4,㈜에스엠씨인터내셔널,관심기업,스크랩,[디저트39] 2024년도 상반기 각 부문 공개 채용,제품디자이너,광고디자이너,시각디자이너,실내디자이너 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,채용 시 마감,~05/31(금),,,,,,,,,,,,,,,,,,,,,
15,하락4,㈜알레르망,관심기업,스크랩,[알레르망] 2024년 상반기 공채,그래픽디자이너,제품디자이너,광고디자이너,시각디자이너 외,신입·경력,초대졸↑,"서울, 경기, 인천 외",정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
