LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
1,유지,잡코리아(유),관심기업,스크랩,[잡코리아X한화이글스] 일급 백만원 시구 사원 모집,홍보,HRD·HRM,인플루언서,경력무관,학력무관,서울,"정규직, 프리랜서 외",홈페이지 지원,~05/13(월),,,,,,,,,,,,,,,,,,,
2,유지,매일유업㈜,관심기업,스크랩,2024년 인턴채용 (채용연계형),MD,경영·비즈니스기획,웹기획,인턴·신입,대졸↑,"서울, 경기, 대전 외",인턴,홈페이지 지원,~05/13(월),1000대기업,244 위,1000대기업 순위 닫기,마케팅기획 외,,,,,,,,,,,,,,,
3,유지,샘표식품㈜,관심기업,스크랩,2024 샘표식품 각 부문 수시 채용,MD,PL·PM·PO,인사담당자,신입·경력,학력무관,"서울, 경기, 충북 외","정규직, 계약직",홈페이지 지원,상시채용,,,,HRD·HRM 외,,,,,,,,,,,,,,,
4,,㈜경동나비엔,관심기업,스크랩,[경동] 2024년 상반기 수시채용,MD,시스템엔지니어,소프트웨어개발자,신입·경력,대졸↑,"서울, 경기, 대전 외",정규직,홈페이지 지원,오늘마감,1000대기업,784 위,1000대기업 순위 닫기,하드웨어개발자 외,상승1,,,,,,,,,,,,,,
5,,㈜모나미,관심기업,스크랩,모나미 [화장품BM/구매/생산관리/영업지원/시설관리] 경력 및 신입 채용,브랜드마케터,경영·비즈니스기획,경영지원,신입·경력,고졸↑,경기,정규직,즉시지원,~05/12(일),,,,사무담당자 외,상승1,,,,,,,,,,,,,,
6,,(주)우아한형제들,관심기업,스크랩,각 부문별 경력/신입 인재영입,AE(광고기획자),브랜드마케터,온라인마케터,신입·경력,학력무관,서울,"정규직, 계약직",홈페이지 지원,상시채용,,,,MD 외,하락2,,,,,,,,,,,,,,
7,,㈜시몬스,관심기업,스크랩,2024년 상반기 부문별 채용공고(신입/경력),AE(광고기획자),브랜드마케터,온라인마케터,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,채용 시 마감,,,,홍보 외,상승1,~05/31(금),,,,,,,,,,,,,
8,,㈜아이디스,관심기업,스크랩,2024년 2분기 집중채용 (신입/경력),MD,소프트웨어개발자,하드웨어개발자,신입·경력,학력무관,"경기, 대전",정규직,홈페이지 지원,~05/21(화),,,,하드웨어엔지니어 외,상승1,,,,,,,,,,,,,,
9,,쿠쿠홀딩스,관심기업,스크랩,2024년 2분기 경력 및 신입사원 인재채용,AE(광고기획자),퍼포먼스마케터,경영·비즈니스기획,신입·경력,고졸↑,"서울, 경기, 전북 외",정규직,홈페이지 지원,내일마감,1000대기업,586 위,1000대기업 순위 닫기,마케팅기획 외,상승1,,,,,,,,,,,,,,
10,,인천신용보증재단,관심기업,스크랩,2024년 인천신용보증재단 신규직원 통합 채용 공고,설문·리서치,경영·비즈니스기획,재무담당자,신입·경력,학력무관,인천,"정규직, 계약직",홈페이지 지원,~05/20(월),,,,금융사무 외,하락3,,,,,,,,,,,,,,
11,,오스템임플란트㈜,관심기업,스크랩,오스템임플란트  경영지원 / 생산·물류 채용,브랜드마케터,온라인마케터,경영·비즈니스기획,신입·경력,학력무관,"서울, 경기",정규직,홈페이지 지원,~05/12(일),우수기업,,우수기업 설명 닫기,마케팅기획 외,상승11,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,
12,유지,콜마비앤에이치㈜,관심기업,스크랩,콜마비앤에이치㈜ 2024년 신입 및 경력직 채용,MD,HRD·HRM,시스템엔지니어,신입·경력,학력무관,"서울, 세종, 충북","정규직, 계약직",즉시지원,오늘마감,우수기업,,우수기업 설명 닫기,물류관리자 외,,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,
13,,케이지모빌리티㈜,관심기업,스크랩,2024년 KG모빌리티(주) 경력직 및 촉탁직 공개 채용,브랜드마케터,마케팅기획,경영지원,신입·경력,대졸↑,"서울, 경기",정규직,홈페이지 지원,~05/13(월),1000대기업,95 위,1000대기업 순위 닫기,그래픽디자이너 외,하락2,,,,,,,,,,,,,,
14,,㈜JYP 엔터테인먼트 재팬,관심기업,스크랩,2024년 JYP Entertainment Japan 채용,AE(광고기획자),브랜드마케터,홍보,신입·경력,대졸↑,일본,"정규직, 계약직",즉시지원,채용 시 마감,,,,마케팅기획 외,상승2,~06/21(금),,,,,,,,,,,,,
15,,㈜슈피겐코리아,관심기업,스크랩,슈피겐코리아 경력 및 채용연계형 인턴 공개채용,브랜드마케터,온라인마케터,콘텐츠마케터,인턴·신입·경력,대졸↑,"서울, 인천","정규직, 인턴",즉시지원,오늘마감,,,,MD 외,하락1,,,,,,,,,,,,,,
16,,오스템임플란트㈜,관심기업,스크랩,오스템임플란트 글로벌 / 영업·마케팅 채용,브랜드마케터,온라인마케터,경영·비즈니스기획,신입·경력,초대졸↑,"서울, 경기, 인천 외",정규직,홈페이지 지원,~05/12(일),우수기업,,우수기업 설명 닫기,마케팅기획 외,상승16,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,
17,,㈜에스엠씨인터내셔널,관심기업,스크랩,[디저트39] 2024년도 상반기 각 부문 공개 채용,퍼포먼스마케터,온라인마케터,콘텐츠마케터,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,채용 시 마감,,,,웹기획 외,상승2,~05/10(금),,,,,,,,,,,,,
18,,㈜이랜드이노플,관심기업,스크랩,이랜드이노플 2024 채용연계형 인턴 채용,CRM마케터,백엔드개발자,프론트엔드개발자,인턴·신입·경력,대졸↑,서울,인턴,홈페이지 지원,오늘마감,,,,시스템엔지니어 외,상승2,,,,이랜드그룹,,,,,,,,,,
19,,HL Klemove,관심기업,스크랩,"2024 상반기 2차 수시채용 (R&D, 영업기획, SMT, 시설관리)",브랜드마케터,시스템엔지니어,소프트웨어개발자,신입·경력,대졸↑,"경기, 인천",정규직,홈페이지 지원,~05/12(일),,,,하드웨어개발자 외,하락1,,,,한라그룹,1000대기업,915 위,1000대기업 순위 닫기,,,,,,,
20,,㈜유한양행,관심기업,스크랩,㈜유한양행 사원 모집,홍보,백엔드개발자,웹개발자,신입·경력,대졸↑,"서울, 경기",정규직,홈페이지 지원,내일 10시 마감,1000대기업,308 위,1000대기업 순위 닫기,바이오·제약연구원 외,하락3,,,,,,,,,,,,,,
21,유지,㈜알레르망,관심기업,스크랩,[알레르망] 2024년 상반기 공채,브랜드마케터,퍼포먼스마케터,온라인마케터,신입·경력,초대졸↑,"서울, 경기, 인천 외",정규직,즉시지원,~05/17(금),,,,콘텐츠마케터 외,,,,,,,,,,,,,,,
22,,한국피자헛(유),관심기업,스크랩,[한국피자헛] 2024년 신입/경력 수시채용 [본사/직영점],AE(광고기획자),브랜드마케터,퍼포먼스마케터,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,~05/12(일),,,,온라인마케터 외,상승1,,,,,,,,,,,,,,
23,,비엠스마일,관심기업,스크랩,[비엠스마일 그룹]2024년 공채,브랜드마케터,퍼포먼스마케터,MD,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/17(금),,,,콘텐츠마케터 외,하락10,,,,,,,,,,,,,,
24,유지,㈜바운스,관심기업,스크랩,[실내테마파크] (주)바운스 신입 및 경력직 채용,브랜드마케터,퍼포먼스마케터,온라인마케터,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,~06/01(토),,,,콘텐츠마케터 외,,,,,,,,,,,,,,,
25,,㈜서부티엔디,관심기업,스크랩,[서울드래곤시티] 각 부문별 공개채용,브랜드마케터,마케팅기획,인사담당자,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,상시채용,,,,회계담당자 외,상승6,,,,,,,,,,,,,,
