LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
1,유지,㈜효성,관심기업,1000대기업,40 위,1000대기업 순위 닫기,스크랩,2024년 2/4분기 효성그룹 경력ㆍ신입사원 채용,기계엔지니어,설계엔지니어,화학엔지니어,공정엔지니어 외,신입·경력,학력무관,"서울, 전국",정규직,홈페이지 지원,~05/21(화),,,,,,,,,,,,,
2,유지,동국제강㈜,관심기업,,,,스크랩,동국제강 2024년 대졸 신입/경력사원 공개채용,전기·전자엔지니어,기계엔지니어,설비엔지니어,공정엔지니어 외,신입·경력,대졸↑,"서울, 인천, 충남 외",정규직,홈페이지 지원,~05/19(일),,,,,,,,,,,,,
3,,대상㈜,관심기업,1000대기업,177 위,1000대기업 순위 닫기,스크랩,"대상(주) 5,6월 신입사원모집",반도체엔지니어,R&D·연구원,경영지원,회계담당자 외,신입,고졸↑,"서울, 충남, 전북 외",정규직,홈페이지 지원,~05/23(목),상승9,,,,,,,,,,,,
4,,한신공영㈜,관심기업,1000대기업,199 위,1000대기업 순위 닫기,스크랩,한신공영㈜ 각 부문 신입 및 경력 채용,설계엔지니어,필드엔지니어,총무,인사담당자 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/22(수),NEWNEW,,,,,,,,,,,,
5,,비지에프푸드,관심기업,,,,스크랩,BGF푸드 신입/경력사원 수시 채용,설비엔지니어,공정엔지니어,경영·비즈니스기획,생산직종사자 외,신입·경력,대졸↑,"충북, 전북, 제주",정규직,홈페이지 지원,~05/19(일),하락2,,,,,,,,,,,,
6,,한미약품그룹,관심기업,우수기업,,우수기업 설명 닫기,스크랩,2024년 한미그룹 5월 수시채용 [각 부문별],R&D·연구원,임상연구원,보안엔지니어,소프트웨어개발자 외,신입·경력,고졸↑,"서울, 경기, 인천","정규직, 계약직",홈페이지 지원,~05/19(일),하락2,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,
7,,㈜아이센스,관심기업,우수기업,,우수기업 설명 닫기,스크랩,㈜아이센스 상반기 신입 및 경력 대규모 채용,전기·전자엔지니어,기계엔지니어,설계엔지니어,공정엔지니어 외,신입·경력,초대졸↑,"서울, 인천, 강원",정규직,홈페이지 지원,~06/09(일),상승3,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,
8,,안국약품㈜,관심기업,,,,스크랩,안국약품㈜ 신입 및 경력직 채용,화학엔지니어,공정엔지니어,R&D·연구원,경영·비즈니스기획 외,신입·경력,고졸↑,"서울, 경기, 전북",정규직,홈페이지 지원,~05/26(일),NEWNEW,,,,,,,,,,,,
9,,㈜시몬스,관심기업,,,,스크랩,2024년 상반기 부문별 채용공고(신입/경력),설계엔지니어,마케팅기획,법무담당자,인사담당자 외,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,채용 시 마감,하락3,,,~05/31(금),,,,,,,,,
10,,샘표식품㈜,관심기업,,,,스크랩,2024 샘표식품 각 부문 수시 채용,R&D·연구원,PL·PM·PO,인사담당자,HRD·HRM 외,신입·경력,학력무관,"서울, 경기, 충북 외","정규직, 계약직",홈페이지 지원,상시채용,하락5,,,,,,,,,,,,
11,,조선내화㈜,관심기업,,,,스크랩,조선내화 2024년 상반기 신입/경력 채용,전기·전자엔지니어,기계엔지니어,설계엔지니어,설비엔지니어 외,인턴·신입·경력,대졸↑,"서울, 전남, 경북 외","정규직, 인턴",홈페이지 지원,~05/26(일),NEWNEW,,,,,,,,,,,,
12,,한국자동차연구원,관심기업,,,,스크랩,한국자동차연구원 2024년도 정직원 채용 공고,R&D·연구원,기계엔지니어,전기·전자엔지니어,하드웨어엔지니어 외,신입·경력,학력무관,"경기, 인천, 충남 외",정규직,홈페이지 지원,~05/21(화),하락5,,,,,,,,,,,,
13,유지,한국알프스㈜,관심기업,1000대기업,791 위,1000대기업 순위 닫기,스크랩,"한국알프스㈜ 부문별 경력/신입사원 모집 (기구/회로/소프트설계, PM, 경리)",전기·전자엔지니어,기계엔지니어,설계엔지니어,공정엔지니어 외,신입·경력,학력무관,"서울, 경기, 광주",정규직,홈페이지 지원,~05/19(일),,,,,,,,,,,,,
