LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
1,유지,매일유업㈜,관심기업,1000대기업,244 위,1000대기업 순위 닫기,스크랩,2024년 인턴채용 (채용연계형),제품영업,서비스영업,법인영업,영업관리 외,인턴·신입,대졸↑,"서울, 경기, 대전 외",인턴,홈페이지 지원,~05/13(월),,,,,,,,,,,,,,,,,,,
2,유지,샘표식품㈜,관심기업,,,,스크랩,2024 샘표식품 각 부문 수시 채용,제품영업,서비스영업,법인영업,영업관리 외,신입·경력,학력무관,"서울, 경기, 충북 외","정규직, 계약직",홈페이지 지원,상시채용,,,,,,,,,,,,,,,,,,,
3,,수산업협동조합중앙회,관심기업,,,,스크랩,2024년도 상반기 전국 수협 일괄공개채용 공고,금융영업,영업지원,서비스영업,IT·기술영업 외,경력무관,학력무관,전국,정규직,홈페이지 지원,~05/17(금),상승3,,,,,,,,,,,,,,,,,,
4,,㈜경동나비엔,관심기업,1000대기업,784 위,1000대기업 순위 닫기,스크랩,[경동] 2024년 상반기 수시채용,제품영업,서비스영업,IT·기술영업,시스템엔지니어 외,신입·경력,대졸↑,"서울, 경기, 대전 외",정규직,홈페이지 지원,내일마감,상승1,,,,,,,,,,,,,,,,,,
5,,㈜모나미,관심기업,,,,스크랩,모나미 [화장품BM/구매/생산관리/영업지원/시설관리] 경력 및 신입 채용,IT·기술영업,영업관리,영업지원,제품영업 외,신입·경력,고졸↑,경기,정규직,즉시지원,~05/12(일),상승2,,,,,,,,,,,,,,,,,,
6,,(주)우아한형제들,관심기업,,,,스크랩,각 부문별 경력/신입 인재영입,제품영업,법인영업,IT·기술영업,영업관리 외,신입·경력,학력무관,서울,"정규직, 계약직",홈페이지 지원,상시채용,하락3,,,,,,,,,,,,,,,,,,
7,,동국시스템즈㈜,관심기업,,,,스크랩,[동국제강그룹] 동국시스템즈 각 부문별 경력 및 인턴사원(채용연계형) 모집,IT·기술영업,경영·비즈니스기획,경영지원,사무담당자 외,인턴·신입·경력,대졸↑,서울,"정규직, 인턴",즉시지원,~05/10(금),하락3,동국제강그룹,,,,,,,,,,,,,,,,,
8,유지,㈜시몬스,관심기업,,,,스크랩,2024년 상반기 부문별 채용공고(신입/경력),제품영업,영업관리,영업지원,마케팅기획 외,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,채용 시 마감,,,~05/31(금),,,,,,,,,,,,,,,,
9,유지,㈜아이디스,관심기업,,,,스크랩,2024년 2분기 집중채용 (신입/경력),IT·기술영업,소프트웨어개발자,하드웨어개발자,하드웨어엔지니어 외,신입·경력,학력무관,"경기, 대전",정규직,홈페이지 지원,~05/21(화),,,,,,,,,,,,,,,,,,,
10,유지,쿠쿠홀딩스,관심기업,1000대기업,586 위,1000대기업 순위 닫기,스크랩,2024년 2분기 경력 및 신입사원 인재채용,서비스영업,해외영업,영업관리,영업지원 외,신입·경력,고졸↑,"서울, 경기, 전북 외",정규직,홈페이지 지원,~05/07(화),,,,,,,,,,,,,,,,,,,
11,,오스템임플란트㈜,관심기업,우수기업,,우수기업 설명 닫기,스크랩,오스템임플란트  경영지원 / 생산·물류 채용,영업지원,경영·비즈니스기획,마케팅기획,PL·PM·PO 외,신입·경력,학력무관,"서울, 경기",정규직,홈페이지 지원,~05/12(일),상승21,,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,,,,
12,,콜마비앤에이치㈜,관심기업,우수기업,,우수기업 설명 닫기,스크랩,콜마비앤에이치㈜ 2024년 신입 및 경력직 채용,제품영업,해외영업,영업관리,영업지원 외,신입·경력,학력무관,"서울, 세종, 충북","정규직, 계약직",즉시지원,내일마감,상승1,,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,,,,
13,,㈜농심,관심기업,1000대기업,157 위,1000대기업 순위 닫기,스크랩,(주)농심 코코이찌방야 신입사원 모집,영업관리,요리사,조리사,제과제빵사 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,내일마감,하락1,,,,,,,,,,,,,,,,,,
