LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
1,유지,㈜경동나비엔,관심기업,1000대기업,784 위,1000대기업 순위 닫기,스크랩,[경동] 2024년 상반기 수시채용,회계담당자,시스템엔지니어,소프트웨어개발자,하드웨어개발자 외,신입·경력,대졸↑,"서울, 경기, 대전 외",정규직,홈페이지 지원,내일마감,,,,,,,,,,,,,,,
2,,㈜시몬스,관심기업,,,,스크랩,2024년 상반기 부문별 채용공고(신입/경력),회계담당자,세무담당자,감사,마케팅기획 외,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,채용 시 마감,상승1,~05/31(금),,,,,,,,,,,,,
3,,㈜아이디스,관심기업,,,,스크랩,2024년 2분기 집중채용 (신입/경력),회계사,소프트웨어개발자,하드웨어개발자,하드웨어엔지니어 외,신입·경력,학력무관,"경기, 대전",정규직,홈페이지 지원,~05/21(화),상승1,,,,,,,,,,,,,,
4,,쿠쿠홀딩스,관심기업,1000대기업,586 위,1000대기업 순위 닫기,스크랩,2024년 2분기 경력 및 신입사원 인재채용,회계담당자,IR·공시,경영·비즈니스기획,마케팅기획 외,신입·경력,고졸↑,"서울, 경기, 전북 외",정규직,홈페이지 지원,~05/07(화),상승2,,,,,,,,,,,,,,
5,,인천신용보증재단,관심기업,,,,스크랩,2024년 인천신용보증재단 신규직원 통합 채용 공고,재무담당자,경영·비즈니스기획,금융사무,심사 외,신입·경력,학력무관,인천,"정규직, 계약직",홈페이지 지원,~05/20(월),하락3,,,,,,,,,,,,,,
6,,오스템임플란트㈜,관심기업,우수기업,,우수기업 설명 닫기,스크랩,오스템임플란트  경영지원 / 생산·물류 채용,회계담당자,재무담당자,감사,경영·비즈니스기획 외,신입·경력,학력무관,"서울, 경기",정규직,홈페이지 지원,~05/12(일),상승10,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,
7,,㈜아이엠비씨,관심기업,,,,스크랩,(주)아이엠비씨 직원 채용 공고,재무담당자,회계담당자,세무담당자,사무담당자 외,신입·경력,초대졸↑,서울,"정규직, 계약직",홈페이지 지원,~05/12(일),하락2,,,,,,,,,,,,,,
8,유지,인천공항운영서비스,관심기업,,,,스크랩,인천공항운영서비스(주) (2024-2) 직원 채용,회계담당자,경리,재무담당자,감사 외,신입·경력,학력무관,인천,정규직,홈페이지 지원,~05/14(화),,,,,,,,,,,,,,,
9,,신한자산신탁㈜,관심기업,,,,스크랩,2024년 하반기 신한자산신탁 신규직원 공개채용,회계담당자,경리,세무담당자,재무담당자 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/13(월),상승1,,,,,,,,,,,,,,
10,,기계설비건설공제조합,관심기업,,,,스크랩,2024년도 신입직원 채용,회계담당자,재무담당자,사무담당자,R&D·연구원 외,신입,학력무관,서울,정규직,홈페이지 지원,~05/10(금),상승9,,,,,,,,,,,,,,
11,,㈜슈피겐코리아,관심기업,,,,스크랩,슈피겐코리아 경력 및 채용연계형 인턴 공개채용,회계담당자,감사,브랜드마케터,온라인마케터 외,인턴·신입·경력,대졸↑,"서울, 인천","정규직, 인턴",즉시지원,내일마감,하락4,,,,,,,,,,,,,,
12,,롯데네슬레코리아㈜,관심기업,,,,스크랩,"롯데네슬레코리아 신입, 경력 사원 채용",경리,영업관리,영업지원,안전관리자 외,신입·경력,고졸↑,"서울, 충북","정규직, 계약직",홈페이지 지원,내일마감,하락3,,,,,,,,,,,,,,
13,,경동물류,관심기업,,,,스크랩,2024년 경동그룹 신입&경력 사원 모집,경리,재무담당자,사무담당자,총무 외,신입·경력,학력무관,"서울, 경기, 인천 외",정규직,즉시지원,~05/20(월),하락2,,,,,,,,,,,,,,
14,유지,세아상역㈜,관심기업,,,,스크랩,세아상역 2024년 상반기 신입사원 공개채용,회계담당자,관세사,해외영업,구매관리자 외,신입,초대졸↑,서울,정규직,홈페이지 지원,~05/12(일),,,,,,,,,,,,,,,
15,유지,㈜에스엠씨인터내셔널,관심기업,,,,스크랩,[디저트39] 2024년도 상반기 각 부문 공개 채용,회계담당자,재무담당자,웹기획,사무담당자 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,채용 시 마감,,~05/10(금),,,,,,,,,,,,,
16,,썬시큐원㈜,관심기업,,,,,,,,,,경리,,,,즉시지원,~06/01(토),상승118,,,,합격축하금 50만원,스크랩,경리 및 행정 업무 담당자 채용,경력무관,학력무관,서울,정규직,,,,
17,유지,한국피자헛(유),관심기업,,,,스크랩,[한국피자헛] 2024년 신입/경력 수시채용 [본사/직영점],재무담당자,경영·비즈니스기획,웹기획,마케팅기획 외,신입·경력,학력무관,"서울, 경기, 인천 외","정규직, 계약직",즉시지원,~05/12(일),,,,,,,,,,,,,,,
18,,㈜덴티움,관심기업,,,,스크랩,"(주)덴티움 해외부분(GHR, 해외영업/CS), 준법감시본부 인재 모집",회계담당자,재무담당자,감사,IR·공시 외,신입·경력,학력무관,경기,정규직,즉시지원,~05/10(금),상승6,,,,,,,,,,,,,,
19,,㈜서부티엔디,관심기업,,,,스크랩,[서울드래곤시티] 각 부문별 공개채용,회계담당자,경리,마케팅기획,인사담당자 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,상시채용,상승4,,,,,,,,,,,,,,
